86, 77, 136
87, 76, 137
87, 76, 138
87, 77, 137
87, 77, 138
85, 78, 139
79, 83, 135
81, 81, 136
84, 81, 138
82, 80, 136
83, 79, 136
83, 80, 135
87, 81, 141
78, 83, 143
79, 82, 148
76, 84, 147
75, 85, 138
83, 79, 138
82, 80, 136
87, 76, 139
87, 76, 139
88, 75, 140
88, 77, 140
89, 77, 140
89, 75, 142
85, 84, 135
83, 81, 137
84, 81, 137
85, 80, 137
85, 80, 138
86, 80, 138
90, 83, 139
91, 79, 146
89, 88, 143
86, 81, 145
85, 80, 142
85, 78, 139
83, 79, 137
95, 82, 141
88, 76, 141
89, 75, 142
96, 83, 140
90, 75, 143
88, 75, 142
87, 82, 138
86, 80, 140
87, 79, 140
88, 79, 140
90, 81, 141
88, 78, 142
90, 79, 140
92, 77, 144
86, 82, 141
86, 82, 140
85, 79, 139
87, 76, 140
84, 78, 137
88, 78, 142
87, 77, 142
86, 77, 142
86, 77, 141
90, 74, 144
89, 75, 143
87, 77, 143
85, 78, 143
86, 77, 142
87, 77, 143
84, 78, 142
88, 76, 143
89, 76, 142
91, 74, 145
86, 77, 143
85, 80, 141
85, 78, 139
86, 77, 138
84, 78, 138
88, 76, 144
88, 75, 145
85, 78, 141
87, 76, 143
90, 74, 145
90, 74, 145
93, 77, 146
88, 76, 147
86, 77, 144
87, 78, 145
90, 80, 144
88, 75, 143
91, 76, 141
92, 75, 143
88, 76, 144
86, 77, 143
85, 78, 139
86, 77, 139
93, 81, 142
87, 76, 143
89, 75, 145
81, 81, 141
86, 77, 144
89, 75, 145
90, 74, 145
89, 74, 146
89, 75, 148
84, 78, 144
84, 78, 143
87, 79, 143
89, 75, 142
90, 76, 141
91, 76, 143
87, 76, 145
86, 77, 144
86, 77, 140
85, 78, 140
87, 76, 142
88, 76, 143
88, 76, 144
84, 79, 146
88, 76, 148
88, 75, 145
90, 74, 145
93, 74, 148
89, 75, 148
88, 77, 148
86, 77, 144
87, 77, 143
90, 76, 142
88, 76, 139
93, 81, 141
87, 77, 146
86, 77, 144
86, 77, 141
87, 76, 142
88, 77, 143
88, 76, 142
87, 76, 143
83, 79, 143
87, 76, 146
89, 75, 145
88, 75, 144
89, 75, 145
88, 76, 147
86, 77, 145
87, 76, 144
86, 77, 143
86, 77, 140
89, 76, 142
90, 84, 140
86, 77, 144
85, 78, 144
85, 78, 140
85, 78, 140
87, 78, 142
88, 76, 141
90, 74, 144
87, 76, 145
86, 77, 146
89, 75, 145
88, 76, 143
89, 75, 146
87, 76, 145
88, 76, 144
88, 76, 143
86, 77, 143
87, 76, 141
89, 75, 145
90, 82, 144
86, 77, 145
87, 76, 146
85, 78, 141
87, 76, 142
89, 78, 142
88, 75, 140
89, 75, 142
87, 76, 144
86, 77, 144
87, 76, 143
87, 76, 141
87, 76, 142
89, 75, 145
89, 75, 145
88, 75, 144
87, 76, 143
88, 76, 142
89, 75, 145
85, 78, 145
85, 78, 145
85, 78, 143
85, 78, 141
87, 76, 143
88, 76, 142
88, 76, 139
92, 73, 144
86, 77, 143
85, 78, 143
88, 77, 141
85, 77, 138
92, 73, 144
91, 74, 146
94, 75, 148
95, 77, 146
89, 75, 143
89, 75, 142
89, 75, 145
89, 77, 149
86, 77, 146
86, 77, 144
85, 78, 142
87, 77, 142
88, 77, 142
88, 75, 141
90, 74, 143
87, 76, 144
86, 78, 144
86, 79, 141
87, 77, 140
88, 75, 141
90, 74, 145
88, 76, 145
88, 76, 144
89, 75, 142
89, 75, 142
88, 76, 143
85, 78, 145
84, 79, 143
85, 78, 142
86, 77, 141
88, 79, 143
90, 79, 143
88, 75, 144
